id;quotation_id;document_path;document_name;upload_date
1;55536;expedite;quantifying payment Seamless;2021-04-21
2;73558;end-to-end;Bacon Verde;2021-04-21
3;2615;tan Human;Berkshire e-services;2021-04-21
4;47057;parse Strategist Tanzanian;out-of-the-box;2021-04-21
5;40837;Namibia Tasty;challenge Customer-focused;2021-04-22
6;8753;Keyboard bi-directional;indigo Islands Strategist;2021-04-22
7;88337;e-services HTTP;Developer Arkansas;2021-04-21
8;14928;violet;SDD markets;2021-04-21
9;26748;Silver;e-business driver;2021-04-21
10;27965;Manager interface capability;EXE quantify New;2021-04-22
