id;rfq_id;product_id;product_attr_id;attribute_name;attribute_value
1;67750;86337;51370;Dynamic payment;Principal online user-facing
2;83341;45647;70745;Automotive Handcrafted;wireless
3;36375;94184;94039;Utah;Handcrafted Carolina
4;42353;97147;3278;Officer Tools Buckinghamshire;Switchable
5;91322;96433;8749;frictionless;e-commerce metrics magenta
6;40158;42837;7718;multi-state;Arab Health
7;89460;75443;97075;Intranet;tan
8;86898;74127;95844;Intelligent digital;tan
9;89103;6853;74803;Birr Computer;heuristic Ruble Minor
10;27134;24439;80341;virtual;Cocos
