id;product_id;rfq_id;item_name;item_desc;sum_insured;currency
1;71982;2913;Quality;red channels needs-based;33138;Mount Clothing auxiliary
2;18216;93350;Health white;utilisation Dakota Concrete;73036;efficient Skyway
3;863;42758;web;Home;8717;International South
4;76631;42718;Chicken;auxiliary Niue;83618;Idaho Incredible Customer
5;9035;32484;Handmade;Facilitator;18822;Global transmit
6;35992;40933;orchestrate deposit;Shoes Sandwich infrastructures;42675;invoice array
7;69367;48014;index Gorgeous Buckinghamshire;Practical;52279;Argentina Accounts deposit
8;72816;89351;calculate haptic;Sterling;23449;withdrawal
9;31204;5127;deposit;Mountain hierarchy;30752;sensor Account Ball
10;44925;62778;Frozen tan;withdrawal payment;10416;Planner
