id;section_name;sum_insured;currency;rfq_id
1;Tasty synthesizing wireless;46887;alliance program bandwidth;67321
2;impactful;53656;Account microchip;4398
3;withdrawal interactive;94319;synthesizing deposit Implementation;48840
4;frame Loan Nevada;10266;disintermediate invoice Outdoors;58124
5;deposit Mouse Handcrafted;65141;deliver;96494
6;Loti;6420;Usability;55759
7;Lempira Investment parallelism;26728;virtual user-facing;94503
8;AGP Cambridgeshire;46403;Metrics Electronics;45405
9;Group Bedfordshire;35509;indexing Lanka;61584
10;SSL;56012;dedicated Well Dollar;62192
